date,perc_taxes
2010-04-01,101.99%
2010-04-02,18.84%
2010-04-05,9.37%
2010-04-06,68.40%
2010-04-07,15.40%
2010-04-08,51.06%
2010-04-09,23.62%
2010-04-12,9.51%
2010-04-13,39.50%
2010-04-14,13.43%
2010-04-15,3.81%
2010-04-16,15.34%
2010-04-19,10.39%
2010-04-20,74.44%
2010-04-21,17.08%
2010-04-22,52.93%
2010-04-23,30.12%
2010-04-26,13.76%
2010-04-27,59.22%
2010-04-28,28.41%
2010-04-29,31.49%
2010-04-30,148.89%
2010-05-03,5.12%
2010-05-04,52.09%
2010-05-05,16.74%
2010-05-06,70.58%
2010-05-07,28.60%
2010-05-10,12.90%
2010-05-11,42.53%
2010-05-12,24.88%
2010-05-13,59.70%
2010-05-14,15.03%
2010-05-17,4.62%
2010-05-18,81.65%
2010-05-19,21.32%
2010-05-20,83.46%
2010-05-21,36.02%
2010-05-24,16.69%
2010-05-25,100.15%
2010-05-26,26.48%
2010-05-27,65.16%
2010-05-28,16.44%
2010-06-01,75.93%
2010-06-02,32.24%
2010-06-03,18.08%
2010-06-04,33.50%
2010-06-07,12.38%
2010-06-08,62.70%
2010-06-09,26.39%
2010-06-10,48.13%
2010-06-11,18.96%
2010-06-14,4.74%
2010-06-15,1.75%
2010-06-16,10.76%
2010-06-17,57.85%
2010-06-18,24.03%
2010-06-21,16.59%
2010-06-22,90.68%
2010-06-23,27.73%
2010-06-24,62.44%
2010-06-25,24.84%
2010-06-28,9.25%
2010-06-29,30.82%
2010-06-30,14.16%
2010-07-01,144.31%
2010-07-02,16.11%
2010-07-06,12.88%
2010-07-07,42.64%
2010-07-08,22.78%
2010-07-09,27.14%
2010-07-12,11.63%
2010-07-13,84.62%
2010-07-14,16.96%
2010-07-15,13.70%
2010-07-16,15.17%
2010-07-19,14.24%
2010-07-20,39.21%
2010-07-21,27.54%
2010-07-22,98.56%
2010-07-23,31.89%
2010-07-26,14.76%
2010-07-27,83.72%
2010-07-28,27.19%
2010-07-29,32.16%
2010-07-30,271.18%
2010-08-02,5.85%
2010-08-03,36.41%
2010-08-04,18.88%
2010-08-05,56.24%
2010-08-06,25.47%
2010-08-09,11.83%
2010-08-10,83.29%
2010-08-11,20.01%
2010-08-12,61.10%
2010-08-13,16.44%
2010-08-16,6.22%
2010-08-17,56.88%
2010-08-18,25.12%
2010-08-19,103.78%
2010-08-20,33.25%
2010-08-23,13.27%
2010-08-24,128.71%
2010-08-25,26.88%
2010-08-26,67.71%
2010-08-27,21.49%
2010-08-30,13.85%
2010-08-31,28.02%
2010-09-01,101.44%
2010-09-02,28.54%
2010-09-03,17.86%
2010-09-07,13.13%
2010-09-08,55.21%
2010-09-09,41.01%
2010-09-10,19.07%
2010-09-13,10.00%
2010-09-14,13.57%
2010-09-15,2.91%
2010-09-16,15.67%
2010-09-17,25.86%
2010-09-20,11.42%
2010-09-21,55.81%
2010-09-22,23.09%
2010-09-23,78.68%
2010-09-24,33.10%
2010-09-27,15.71%
2010-09-28,74.79%
2010-09-29,18.15%
2010-09-30,35.80%
2010-10-01,102.08%
2010-10-04,8.17%
2010-10-05,86.89%
2010-10-06,16.16%
2010-10-07,63.45%
2010-10-08,24.13%
2010-10-12,14.60%
2010-10-13,59.23%
2010-10-14,26.24%
2010-10-15,9.77%
2010-10-18,9.68%
2010-10-19,79.33%
2010-10-20,20.44%
2010-10-21,68.04%
2010-10-22,34.66%
2010-10-25,16.27%
2010-10-26,72.25%
2010-10-27,28.64%
2010-10-28,65.99%
2010-10-29,14.55%
2010-11-01,70.96%
2010-11-02,30.77%
2010-11-03,17.79%
2010-11-04,72.46%
2010-11-05,27.57%
2010-11-08,11.66%
2010-11-09,77.23%
2010-11-10,23.58%
2010-11-12,21.69%
2010-11-15,9.49%
2010-11-16,22.13%
2010-11-17,28.66%
2010-11-18,77.53%
2010-11-19,23.20%
2010-11-22,17.08%
2010-11-23,80.57%
2010-11-24,17.41%
2010-11-26,24.85%
2010-11-29,12.87%
2010-11-30,73.13%
2010-12-01,103.68%
2010-12-02,31.04%
2010-12-03,19.71%
2010-12-06,12.88%
2010-12-07,64.64%
2010-12-08,24.68%
2010-12-09,47.06%
2010-12-10,8.83%
2010-12-13,4.64%
2010-12-14,15.66%
2010-12-15,3.57%
2010-12-16,11.99%
2010-12-17,22.29%
2010-12-20,12.29%
2010-12-21,52.56%
2010-12-22,20.25%
2010-12-23,21.42%
2010-12-24,9.34%
2010-12-27,9.92%
2010-12-28,78.27%
2010-12-29,19.31%
2010-12-30,25.32%
2010-12-31,5.47%
2011-01-03,60.53%
2011-01-04,45.63%
2011-01-05,16.15%
2011-01-06,61.11%
2011-01-07,21.14%
2011-01-10,5.78%
2011-01-11,49.70%
2011-01-12,24.08%
2011-01-13,46.87%
2011-01-14,8.93%
2011-01-18,4.18%
2011-01-19,22.24%
2011-01-20,23.33%
2011-01-21,21.61%
2011-01-24,9.78%
2011-01-25,80.22%
2011-01-26,13.04%
2011-01-27,57.15%
2011-01-28,18.42%
2011-01-31,9.11%
2011-02-01,115.45%
2011-02-02,19.35%
2011-02-03,69.06%
2011-02-04,18.38%
2011-02-07,11.30%
2011-02-08,92.73%
2011-02-09,28.68%
2011-02-10,50.66%
2011-02-11,33.19%
2011-02-14,8.69%
2011-02-15,16.64%
2011-02-16,10.39%
2011-02-17,48.33%
2011-02-18,17.12%
2011-02-22,18.63%
2011-02-23,55.65%
2011-02-24,38.48%
2011-02-25,29.91%
2011-02-28,8.62%
2011-03-01,98.72%
2011-03-02,20.26%
2011-03-03,42.67%
2011-03-04,15.15%
2011-03-07,6.94%
2011-03-08,60.03%
2011-03-09,21.96%
2011-03-10,42.84%
2011-03-11,16.50%
2011-03-14,6.01%
2011-03-15,5.93%
2011-03-16,9.12%
2011-03-17,58.92%
2011-03-18,18.07%
2011-03-21,13.24%
2011-03-22,137.73%
2011-03-23,30.92%
2011-03-24,93.39%
2011-03-25,29.55%
2011-03-28,13.55%
2011-03-29,39.20%
2011-03-30,27.70%
2011-03-31,34.10%
2011-04-01,97.10%
2011-04-04,8.70%
2011-04-05,76.04%
2011-04-06,14.81%
2011-04-07,58.10%
2011-04-08,24.91%
2011-04-11,11.00%
2011-04-12,38.81%
2011-04-13,21.41%
2011-04-14,15.59%
2011-04-15,5.61%
2011-04-18,3.71%
2011-04-19,28.13%
2011-04-20,16.86%
2011-04-21,59.81%
2011-04-22,40.26%
2011-04-25,17.26%
2011-04-26,86.33%
2011-04-27,27.54%
2011-04-28,62.11%
2011-04-29,162.56%
2011-05-02,4.74%
2011-05-03,57.71%
2011-05-04,16.34%
2011-05-05,61.13%
2011-05-06,25.35%
2011-05-09,11.28%
2011-05-10,67.13%
2011-05-11,20.98%
2011-05-12,64.64%
2011-05-13,13.24%
2011-05-16,5.84%
2011-05-17,71.80%
2011-05-18,22.24%
2011-05-19,52.37%
2011-05-20,34.59%
2011-05-23,16.39%
2011-05-24,122.20%
2011-05-25,28.53%
2011-05-26,61.42%
2011-05-27,19.63%
2011-05-31,12.81%
2011-06-01,137.05%
2011-06-02,18.15%
2011-06-03,20.63%
2011-06-06,12.55%
2011-06-07,80.66%
2011-06-08,23.72%
2011-06-09,59.72%
2011-06-10,19.12%
2011-06-13,6.91%
2011-06-14,10.85%
2011-06-15,2.46%
2011-06-16,15.04%
2011-06-17,31.02%
2011-06-20,18.29%
2011-06-21,99.00%
2011-06-22,24.51%
2011-06-23,82.21%
2011-06-24,28.24%
2011-06-27,12.50%
2011-06-28,117.94%
2011-06-29,17.65%
2011-06-30,31.61%
2011-07-01,121.57%
2011-07-05,12.81%
2011-07-06,46.32%
2011-07-07,21.36%
2011-07-08,25.18%
2011-07-11,10.51%
2011-07-12,84.04%
2011-07-13,20.93%
2011-07-14,22.69%
2011-07-15,11.14%
2011-07-18,6.39%
2011-07-19,52.19%
2011-07-20,21.89%
2011-07-21,77.40%
2011-07-22,36.33%
2011-07-25,15.77%
2011-07-26,94.93%
2011-07-27,24.78%
2011-07-28,72.13%
2011-07-29,15.83%
2011-08-01,91.87%
2011-08-02,28.48%
2011-08-03,19.95%
2011-08-04,78.50%
2011-08-05,26.07%
2011-08-08,12.67%
2011-08-09,104.29%
2011-08-10,20.23%
2011-08-11,49.91%
2011-08-12,17.21%
2011-08-15,9.04%
2011-08-16,15.54%
2011-08-17,30.15%
2011-08-18,87.49%
2011-08-19,27.24%
2011-08-22,14.97%
2011-08-23,126.06%
2011-08-24,28.80%
2011-08-25,82.73%
2011-08-26,29.68%
2011-08-29,12.24%
2011-08-30,103.57%
2011-08-31,20.49%
2011-09-01,150.72%
2011-09-02,15.59%
2011-09-06,14.37%
2011-09-07,63.48%
2011-09-08,20.26%
2011-09-09,30.47%
2011-09-12,10.63%
2011-09-13,36.69%
2011-09-14,10.83%
2011-09-15,3.27%
2011-09-16,10.63%
2011-09-19,10.28%
2011-09-20,61.37%
2011-09-21,21.80%
2011-09-22,105.18%
2011-09-23,35.09%
2011-09-26,17.28%
2011-09-27,83.37%
2011-09-28,27.80%
2011-09-29,24.20%
2011-09-30,182.85%
2011-10-03,5.58%
2011-10-04,58.42%
2011-10-05,16.10%
2011-10-06,63.59%
2011-10-07,23.50%
2011-10-11,16.46%
2011-10-12,62.23%
2011-10-13,30.52%
2011-10-14,15.80%
2011-10-17,6.61%
2011-10-18,74.60%
2011-10-19,21.03%
2011-10-20,76.07%
2011-10-21,32.89%
2011-10-24,17.10%
2011-10-25,107.40%
2011-10-26,25.72%
2011-10-27,68.52%
2011-10-28,18.89%
2011-10-31,8.31%
2011-11-01,153.89%
2011-11-02,15.04%
2011-11-03,61.45%
2011-11-04,18.52%
2011-11-07,12.94%
2011-11-08,71.84%
2011-11-09,24.82%
2011-11-10,30.96%
2011-11-14,11.03%
2011-11-15,22.82%
2011-11-16,20.06%
2011-11-17,63.46%
2011-11-18,22.88%
2011-11-21,17.30%
2011-11-22,87.44%
2011-11-23,22.78%
2011-11-25,16.34%
2011-11-28,17.63%
2011-11-29,59.41%
2011-11-30,26.41%
2011-12-01,142.67%
2011-12-02,19.06%
2011-12-05,13.87%
2011-12-06,66.88%
2011-12-07,18.47%
2011-12-08,42.75%
2011-12-09,10.49%
2011-12-12,4.97%
2011-12-13,41.38%
2011-12-14,9.64%
2011-12-15,2.61%
2011-12-16,9.20%
2011-12-19,11.28%
2011-12-20,48.43%
2011-12-21,22.37%
2011-12-22,37.48%
2011-12-23,13.57%
2011-12-27,13.35%
2011-12-28,59.57%
2011-12-29,17.62%
2011-12-30,10.76%
2012-01-03,57.81%
2012-01-04,28.86%
2012-01-05,20.85%
2012-01-06,21.08%
2012-01-09,7.50%
2012-01-10,49.65%
2012-01-11,18.03%
2012-01-12,46.76%
2012-01-13,11.91%
2012-01-17,4.04%
2012-01-18,29.34%
2012-01-19,26.28%
2012-01-20,25.55%
2012-01-23,10.92%
2012-01-24,106.12%
2012-01-25,20.20%
2012-01-26,38.00%
2012-01-27,20.09%
2012-01-30,12.32%
2012-01-31,17.96%
2012-02-01,91.50%
2012-02-02,23.56%
2012-02-03,15.42%
2012-02-06,9.85%
2012-02-07,62.69%
2012-02-08,17.07%
2012-02-09,60.05%
2012-02-10,22.20%
2012-02-13,10.60%
2012-02-14,28.00%
2012-02-15,12.60%
2012-02-16,11.99%
2012-02-17,21.12%
2012-02-21,15.23%
2012-02-22,55.47%
2012-02-23,24.72%
2012-02-24,36.71%
2012-02-27,11.73%
2012-02-28,78.73%
2012-02-29,15.07%
2012-03-01,107.47%
2012-03-02,15.19%
2012-03-05,8.45%
2012-03-06,72.80%
2012-03-07,14.70%
2012-03-08,40.58%
2012-03-09,21.78%
2012-03-12,8.09%
2012-03-13,35.95%
2012-03-14,9.53%
2012-03-15,5.20%
2012-03-16,7.43%
2012-03-19,12.26%
2012-03-20,114.55%
2012-03-21,20.01%
2012-03-22,96.14%
2012-03-23,30.67%
2012-03-26,14.69%
2012-03-27,62.97%
2012-03-28,29.65%
2012-03-29,33.50%
2012-03-30,203.53%
2012-04-02,5.07%
2012-04-03,44.23%
2012-04-04,15.66%
2012-04-05,45.11%
2012-04-06,21.00%
2012-04-09,11.83%
2012-04-10,48.18%
2012-04-11,22.68%
2012-04-12,34.18%
2012-04-13,9.24%
2012-04-16,4.53%
2012-04-17,5.74%
2012-04-18,16.74%
2012-04-19,25.23%
2012-04-20,26.12%
2012-04-23,15.56%
2012-04-24,111.18%
2012-04-25,28.05%
2012-04-26,52.97%
2012-04-27,20.38%
2012-04-30,8.51%
2012-05-01,139.00%
2012-05-02,15.23%
2012-05-03,65.95%
2012-05-04,18.25%
2012-05-07,13.02%
2012-05-08,69.35%
2012-05-09,24.97%
2012-05-10,54.06%
2012-05-11,22.37%
2012-05-14,8.97%
2012-05-15,16.31%
2012-05-16,10.80%
2012-05-17,74.93%
2012-05-18,23.57%
2012-05-21,17.87%
2012-05-22,75.34%
2012-05-23,35.04%
2012-05-24,114.61%
2012-05-25,33.39%
2012-05-29,12.53%
2012-05-30,91.46%
2012-05-31,23.28%
2012-06-01,113.88%
2012-06-04,10.62%
2012-06-05,66.32%
2012-06-07,65.60%
2012-06-08,19.40%
2012-06-11,7.62%
2012-06-12,39.00%
2012-06-13,13.80%
2012-06-14,11.59%
2012-06-15,2.57%
2012-06-18,9.72%
2012-06-19,112.66%
2012-06-20,32.36%
2012-06-21,107.34%
2012-06-22,33.73%
2012-06-25,14.04%
2012-06-26,107.95%
2012-06-27,23.19%
2012-06-28,63.79%
2012-06-29,218.00%
2012-07-02,6.55%
2012-07-03,37.74%
2012-07-05,21.03%
2012-07-06,33.02%
2012-07-09,12.09%
2012-07-10,82.43%
2012-07-11,23.08%
2012-07-12,58.51%
2012-07-13,13.23%
2012-07-16,5.73%
2012-07-17,52.77%
2012-07-18,19.07%
2012-07-19,57.26%
2012-07-20,27.62%
2012-07-23,16.62%
2012-07-24,122.43%
2012-07-25,25.12%
2012-07-26,65.87%
2012-07-27,23.91%
2012-07-30,14.35%
2012-07-31,25.46%
2012-08-01,125.66%
2012-08-02,27.09%
2012-08-03,16.28%
2012-08-06,10.89%
2012-08-07,89.42%
2012-08-08,19.47%
2012-08-09,67.86%
2012-08-10,22.71%
2012-08-13,11.71%
2012-08-14,29.04%
2012-08-15,12.86%
2012-08-16,16.86%
2012-08-17,28.56%
2012-08-20,14.85%
2012-08-21,99.15%
2012-08-22,26.22%
2012-08-23,77.78%
2012-08-24,29.71%
2012-08-27,12.93%
2012-08-28,87.76%
2012-08-29,19.54%
2012-08-30,73.32%
2012-08-31,227.61%
2012-09-04,6.72%
2012-09-05,45.22%
2012-09-06,18.43%
2012-09-07,25.80%
2012-09-10,11.99%
2012-09-11,46.08%
2012-09-12,18.64%
2012-09-13,28.52%
2012-09-14,5.49%
2012-09-17,1.48%
2012-09-18,34.30%
2012-09-19,19.16%
2012-09-20,90.46%
2012-09-21,33.95%
2012-09-24,17.62%
2012-09-25,128.63%
2012-09-26,26.59%
2012-09-27,62.58%
2012-09-28,11.68%
2012-10-01,74.16%
2012-10-02,35.81%
2012-10-03,16.89%
2012-10-04,71.01%
2012-10-05,23.33%
2012-10-09,15.94%
2012-10-10,62.78%
2012-10-11,26.84%
2012-10-12,19.91%
2012-10-15,5.51%
2012-10-16,16.32%
2012-10-17,22.99%
2012-10-18,76.49%
2012-10-19,23.34%
2012-10-22,15.18%
2012-10-23,101.81%
2012-10-24,38.01%
2012-10-25,67.77%
2012-10-26,19.81%
2012-10-29,10.31%
2012-10-30,108.28%
2012-10-31,15.69%
2012-11-01,146.17%
2012-11-02,15.93%
2012-11-05,13.74%
2012-11-06,59.57%
2012-11-07,18.31%
2012-11-08,55.82%
2012-11-09,22.16%
2012-11-13,12.91%
2012-11-14,35.12%
2012-11-15,12.11%
2012-11-16,12.40%
2012-11-19,15.82%
2012-11-20,69.54%
2012-11-21,20.45%
2012-11-23,17.61%
2012-11-26,19.89%
2012-11-27,147.12%
2012-11-28,33.54%
2012-11-29,34.27%
2012-11-30,281.22%
2012-12-03,5.85%
2012-12-04,45.02%
2012-12-05,18.08%
2012-12-06,39.41%
2012-12-07,7.45%
2012-12-10,6.13%
2012-12-11,49.07%
2012-12-12,14.99%
2012-12-13,24.48%
2012-12-14,6.17%
2012-12-17,2.21%
2012-12-18,37.05%
2012-12-19,18.22%
2012-12-20,39.75%
2012-12-21,18.31%
2012-12-24,6.00%
2012-12-26,52.88%
2012-12-27,37.07%
2012-12-28,16.12%
2012-12-31,6.66%
2013-01-02,74.30%
2013-01-03,20.00%
2013-01-04,15.00%
2013-01-07,9.31%
2013-01-08,40.54%
2013-01-09,9.82%
2013-01-10,37.83%
2013-01-11,18.74%
2013-01-14,8.89%
2013-01-15,6.83%
2013-01-16,6.44%
2013-01-17,36.25%
2013-01-18,19.06%
2013-01-22,15.03%
2013-01-23,53.74%
2013-01-24,44.83%
2013-01-25,22.83%
2013-01-28,10.56%
,0.94%
,281.22%
,22.12%
